ORGA_NOM,Type collectivités,SIREN,year,2017
Communauté d'agglomération Arles Crau Camargue Montagnette,EPCI,0,2017,1
Pays d'Aubagne et de l'Etoile,EPCI,0,2017,1
SAN Ouest Provence,EPCI,0,2017,1
Communauté d'agglomération d'Angers Loire Métropole,EPCI,0,2017,1
Communauté de Communauté Bars-le-duc,EPCI,0,2017,1
Communauté d'agglomération du Beauvaisis,EPCI,0,2017,1
Communauté d'agglomération havraise (CODAH),EPCI,0,2017,1
Communauté d'agglomération de Metz Métropole,EPCI,0,2017,1
Communauté d’Agglomération du Pays de Martigues,EPCI,0,2017,1
Communauté d'agglomération de Pau-Pyrénées,EPCI,0,2017,1
Communauté d'agglomération du Pays ajaccien,EPCI,0,2017,1
"Communauté d'Agglomération du Pays d'Aix ",EPCI,0,2017,1
Communauté d'Agglomération Grand Poitiers,EPCI,0,2017,1
Communauté de Communes Val d'Ille,EPCI,0,2017,1
Mulhouse Alsace Agglomération,EPCI,0,2017,1
Communauté de Communes Bretagne Romantique,EPCI,0,2017,1
Communauté Urbaine de Strasbourg,EPCI,0,2017,1
"Métropole de Lyon ",EPCI,0,2017,1
Grand Nancy,EPCI,0,2017,1
"Grand Paris Seine Ouest ",EPCI,0,2017,1
Société du Grand Paris,EPECI,0,2017,1
"Bordeaux Métropole ",EPCI,0,2017,1
Brest Métropole Océane,EPCI,0,2017,1
"Grenoble-Alpes Métropole ",EPCI,0,2017,1
Le Mans Métropole,EPCI,0,2017,1
Le Havre,EPCI,0,2017,1
Lille Métropole,EPCI,0,2017,1
Lorient Agglomération,EPIC,0,2017,1
Marseille Provence Métropole,EPCI,0,2017,1
"Métropole Nice Côte d'Azur ",EPCI,0,2017,1
Metz Métropole,EPCI,0,2017,1
Montpellier Méditerranée Métropole,EPCI,0,2017,1
"Nantes Métropole ",EPCI,0,2017,1
Rennes Métropole,EPCI,0,2017,1
Toulouse Métropole,EPCI,0,2017,1
"Syndicat d'Agglomération Nouvelle Ouest Provence ",EPCI,0,2017,1
"Syndicat mixte du Pays d'Arles ",EPCI,0,2017,1
Aucamville,Commune,0,2017,1
Agen,Commune,0,2017,1
"Aix-en-Provence ",Commune,0,2017,1
Arles,Commune,0,2017,1
Avignon,Commune,0,2017,1
Avray,Commune,0,2017,1
Balma,Commune,0,2017,1
Bar-le-duc,Commune,0,2017,1
Blagnac,Commune,0,2017,1
Boulogne-Billancourt,Commune,0,2017,1
Brocas,Commune,0,2017,1
Chassieu,Commune,0,2017,1
Chaville,Commune,0,2017,1
Colomiers,Commune,0,2017,1
"Cornebarieu ",Commune,0,2017,1
"Cugnaux ",Commune,0,2017,1
Coulommiers,Commune,0,2017,1
"Digne-les-Bains ",Commune,0,2017,1
"Gratentour ",Commune,0,2017,1
"Grenoble ",Commune,0,2017,1
"Issy-les-Moulineaux ",Commune,0,2017,1
Istres,Commune,0,2017,1
"La Rochelle ",Commune,0,2017,1
Longjumeau,Commune,0,2017,1
Louviers,Commune,0,2017,1
Lyon,Commune,0,2017,1
Le Mans,Commune,0,2017,1
Les Lilas,Commune,0,2017,1
Mahina (Polynésie),Commune,0,2017,1
Marseille,Commune,0,2017,1
"Martigues ",Commune,0,2017,1
Marnes-la-Coquette,Commune,0,2017,1
Meudon,Commune,0,2017,1
Montpellier,Commune,0,2017,1
Mogneneins,Commune,0,2017,1
Mulhouse,Commune,0,2017,1
Monacia-d'Aullène,Commune,0,2017,1
Nantes,Commune,0,2017,1
Nice,Commune,0,2017,1
Paris,Commune,0,2017,1
Rennes,Commune,0,2017,1
Rodez,Commune,0,2017,1
Roquefort,Commune,0,2017,1
Saint-Malo,Commune,0,2017,1
Saint-Quentin (Aisne),Commune,0,2017,1
Saint-Jacques de la Lande,Commune,0,2017,1
"Sarlat-la-Canéda ",Commune,0,2017,1
Sèvres,Commune,0,2017,1
Strasbourg,Commune,0,2017,1
"Saint Jory ",Commune,0,2017,1
"Seilh ",Commune,0,2017,1
Toulouse,Commune,0,2017,1
Vanves,Commune,0,2017,1
Versailles,Commune,0,2017,1
Villemomble,Commune,0,2017,1
Département du Cantal,Département,0,2017,1
Département des Côtes-d'Armor,Département,0,2017,1
Département du Calvados,Département,0,2017,1
Département de l'Essonne,Département,0,2017,1
Département de l'Eure,Département,0,2017,1
Département de la Gironde,Département,0,2017,1
Département du Gers,Département,0,2017,1
Département de Haute Garonne,Département,0,2017,1
Département des Hauts-de-Seine,Département,0,2017,1
Département de l'Isère,Département,0,2017,1
Département du Loir-et-Cher,Département,0,2017,1
Département de la Loire-Atlantique,Département,0,2017,1
Département du Loiret,Département,0,2017,1
Département de la Manche,Département,0,2017,1
Département du Nord,Département,0,2017,1
Département de l’Oise,Département,0,2017,1
Département de la Seine-Saint-Denis,Département,0,2017,1
Département de la Seine-Maritime,Département,0,2017,1
Département de Saône-et-Loire,Département,0,2017,1
Département du Var,Région,0,2017,1
Collectivité Territoriale de Corse,Région,0,2017,1
Région Alsace,Région,0,2017,1
Région Aquitaine,Région,0,2017,1
Région Auvergne-Rhone-Alpes,Région,0,2017,1
Région Bretagne,Région,0,2017,1
Région Lorraine,Région,0,2017,1
Région Normandie,Région,0,2017,1
Région Ile-de-France,Région,0,2017,1
Région Hauts-de-France,Région,0,2017,1
Région Provence-Alpes-Coted'Azur,Région,0,2017,1
Région Pays de Loire,Région,0,2017,1
Syndicat Mixte Informatique Aveyron (SMICA),SM,0,2017,1
Syndicat Mixte Informatique Charente Maritime (SOLUTIS),SM,0,2017,1
Syndicat Mixte Informatique Alpes Maritimes (SICTIAM),SM,0,2017,1
Syndicat Mixte Informatique Manche (Manche Numérique),SM,0,2017,1
Syndicat Mixte Informatique Val-de-Marne (INFOCOM'94),SM,0,2017,1
Syndicat Mixte Informatique GéoBourgogne,SM,0,2017,1
Syndicat Mixte Informatique Pays Midi-Quercy,SM,0,2017,1
Syndicat Mixte Energie Morbilhan énergies,SM,0,2017,1
Syndicat Mixte Transport Bouche-du-Rhone (Le Pilote),SM,0,2017,1
"Syndicat Mixte Tourisme Bouche-du-Rhone ",SM,0,2017,1
Syndicat Mixte Transport Collectif Oise (SMTCO),SM,0,2017,1
Syndicat Mixte Déceht (DECOSEPT),SM,0,2017,1
Morbihan Energie,SM,0,2017,1
GIP Bretagne Environnement,GIP,0,2017,1
Comité Départemental du Tourisme de Gironde,CDT,0,2017,1
Comité Départemental du Tourisme des Bouches-du-Rhône,CDT,0,2017,1
Comité Départemental du Var,CDT,0,2017,1
Comité Départemental du Morbihan,CDT,0,2017,1
