SIREN,ORGA_NOM,ORGA_TYPE,ORGA_SS_TYPE,ORGA_PORT1_PTF_NB_DATASETS,ORGA_PORT2_PTF_NB_DATASETS,ORGA_CONTRIB1_PTF_NB_DATASETS,ORGA_CONTRIB2_PTF_NB_DATASETS,year,2018
241300417,CA ARLES CRAU CAMARGUE MONTAGNETTE,COLLTERR,EPCI,0.0,0.0,5.0,5.0,2018,10.0
242900314,BREST METROPOLE,COLLTERR,EPCI,0.0,0.0,5.0,0.0,2018,5.0
243300316,BORDEAUX METROPOLE,COLLTERR,EPCI,163.0,0.0,17.0,45.0,2018,225.0
245400676,METROPOLE DU GRAND NANCY,COLLTERR,EPCI,47.0,0.0,1.0,0.0,2018,48.0
214000564,BROCAS LES FORGES,COLLTERR,Mairie,67.0,0.0,33.0,0.0,2018,100.0
213303662,SAINT ANDRE DE CUBZAC,COLLTERR,Mairie,0.0,0.0,1.0,0.0,2018,1.0
226000016,OISE,COLLTERR,Conseil Départemental,122.0,0.0,54.0,0.0,2018,176.0
225005024,MANCHE,COLLTERR,Conseil Départemental,43.0,0.0,35.0,0.0,2018,78.0
224100016,LOIR ET CHER,COLLTERR,Conseil Départemental,0.0,0.0,69.0,0.0,2018,69.0
227100013,SAONE ET LOIRE,COLLTERR,Conseil Départemental,283.0,0.0,67.0,74.0,2018,424.0
221500010,CANTAL,COLLTERR,Conseil Départemental,5.0,0.0,5.0,0.0,2018,10.0
200053759,NOUVELLE AQUITAINE,COLLTERR,Conseil Régional,0.0,0.0,2.0,0.0,2018,2.0
200053742,HAUTS DE FRANCE,COLLTERR,Conseil Régional,118.0,0.0,50.0,0.0,2018,168.0
217701317,COULOMMIERS,COLLTERR,Mairie,0.0,0.0,26.0,0.0,2018,26.0
200046977,GRAND LYON,COLLTERR,EPCI,941.0,0.0,773.0,0.0,2018,1714.0
219400587,LE PERREUX SUR MARNE,COLLTERR,Mairie,0.0,0.0,2.0,0.0,2018,2.0
219300456,LES LILAS,COLLTERR,Mairie,0.0,0.0,7.0,0.0,2018,7.0
219103454,LONGJUMEAU,COLLTERR,Mairie,0.0,0.0,13.0,0.0,2018,13.0
217500016,PARIS,COLLTERR,Mairie,225.0,0.0,459.0,0.0,2018,684.0
213105554,TOULOUSE,COLLTERR,Mairie,0.0,154.0,49.0,0.0,2018,203.0
200054807,METROPOLE AIX MARSEILLE PROVENCE,COLLTERR,EPCI,0.0,0.0,10.0,1.0,2018,11.0
244400404,NANTES METROPOLE,COLLTERR,EPCI,142.0,0.0,50.0,0.0,2018,192.0
234400034,PAYS DE LA LOIRE,COLLTERR,Conseil Régional,218.0,0.0,140.0,0.0,2018,358.0
237500079,ILE DE FRANCE,COLLTERR,Conseil Régional,269.0,0.0,1112.0,0.0,2018,1381.0
231300021,SUD PACA,COLLTERR,Conseil Régional,54.0,32.0,48.0,0.0,2018,134.0
243500139,RENNES METROPOLE,COLLTERR,EPCI,21.0,51.0,65.0,0.0,2018,137.0
219400686,SAINT MAUR DES FOSSES,COLLTERR,Mairie,0.0,0.0,1.0,0.0,2018,1.0
210206660,SAINT QUENTIN,COLLTERR,Mairie,60.0,0.0,32.0,0.0,2018,92.0
212405203,SARLAT LA CANEDA,COLLTERR,Mairie,0.0,0.0,12.0,0.0,2018,12.0
243100518,TOULOUSE METROPOLE,COLLTERR,EPCI,84.0,0.0,337.0,0.0,2018,421.0
211300017,AIX EN PROVENCE,COLLTERR,Mairie,0.0,0.0,3.0,0.0,2018,3.0
219200409,ISSY LES MOULINEAUX,COLLTERR,Mairie,87.0,0.0,260.0,0.0,2018,347.0
211300553,MARSEILLE,COLLTERR,Mairie,0.0,0.0,59.0,70.0,2018,129.0
214401093,NANTES,COLLTERR,Mairie,0.0,123.0,35.0,0.0,2018,158.0
213502388,RENNES,COLLTERR,Mairie,0.0,121.0,40.0,0.0,2018,161.0
219300779,VILLEMOMBLE,COLLTERR,Mairie,0.0,0.0,10.0,0.0,2018,10.0
232000018,CORSE,COLLTERR,Conseil Régional,118.0,0.0,94.0,0.0,2018,212.0
212703755,LOUVIERS,COLLTERR,Mairie,0.0,0.0,3.0,0.0,2018,3.0
244900015,ANGERS LOIRE METROPOLE,COLLTERR,EPCI,31.0,0.0,98.0,0.0,2018,129.0
212500565,BESANCON,COLLTERR,Mairie,0.0,0.0,1.0,0.0,2018,1.0
212001630,MONACIA D'AULLENE,COLLTERR,Mairie,0.0,0.0,12.0,0.0,2018,12.0
213502883,SAINT MALO,COLLTERR,Mairie,0.0,0.0,50.0,0.0,2018,50.0
200039865,METZ METROPOLE,COLLTERR,EPCI,0.0,0.0,53.0,0.0,2018,53.0
219200227,CHAVILLE,COLLTERR,Mairie,0.0,0.0,11.0,0.0,2018,11.0
