SIREN,ORGA_NOM,type,nb-ptf,nb-datagouv,year,2020
213500010,ACIGNE,COM,4.0,0.0,2020,4.0
306966110,ADEUPa,OACT,12.0,0.0,2020,12.0
384452611,ADICO SMI OISE,AGCT,1.0,0.0,2020,1.0
214700015,AGEN,COM,5.0,68.0,2020,73.0
776258261,AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE,OACT,3.0,0.0,2020,3.0
392178570,AGENCE DE TOURISME DE LA CORSE,OACT,14.0,0.0,2020,14.0
287500052,AGENCE DES ESPACES VERTS ILE DE FRANCE,OACT,23.0,0.0,2020,23.0
256404393,AGENCE PUBLIQUE DE GESTION LOCALE,AGCT,0.0,1.0,2020,1.0
216400085,AHAXE ALCIETTE BASCASSAN,COM,0.0,2.0,2020,2.0
210400016,AIGLUN,COM,4.0,0.0,2020,4.0
220100010,AIN,DEP,39.0,12.0,2020,51.0
216400135,AINHICE MONGELOS,COM,0.0,2.0,2020,2.0
216400143,AINHOA,COM,0.0,2.0,2020,2.0
404453110,AIR BREIZH,OACT,29.0,0.0,2020,29.0
323266205,AIR PAYS DE LA LOIRE,OACT,28.0,10.0,2020,38.0
214000010,AIRE SUR L'ADOUR,COM,0.0,1.0,2020,1.0
316465236,AIRPARIF,OACT,161.0,13.0,2020,174.0
211300017,AIX EN PROVENCE,COM,3.0,0.0,2020,3.0
217300086,AIX LES BAINS,COM,0.0,1.0,2020,1.0
218100048,ALBI,COM,24.0,0.0,2020,24.0
215600016,ALLAIRE,COM,0.0,1.0,2020,1.0
220400014,ALPES DE HAUTE PROVENCE,DEP,34.0,0.0,2020,34.0
220600019,ALPES MARITIMES,DEP,24.0,24.0,2020,48.0
254003304,ALPI 40 LANDE,AGCT,0.0,5.0,2020,5.0
213000102,ANDUZE,COM,0.0,3.0,2020,3.0
214900078,ANGERS,COM,45.0,0.0,2020,45.0
244900015,ANGERS LOIRE METROPOLE,CU,36.0,115.0,2020,151.0
216400242,ANGLET,COM,19.0,0.0,2020,19.0
210600045,ANTIBES JUAN LES PINS,COM,107.0,0.0,2020,107.0
784237539,APUR,OACT,99.0,0.0,2020,99.0
305350795,ARCADE,OACT,4.0,0.0,2020,4.0
451366611,ARCADI ILE DE FRANCE,OACT,10.0,0.0,2020,10.0
220700017,ARDECHE,DEP,17.0,0.0,2020,17.0
487977985,ARDTA,OACT,14.0,0.0,2020,14.0
216400457,ARHANSUS,COM,0.0,2.0,2020,2.0
220900013,ARIEGE,DEP,0.0,1.0,2020,1.0
447740036,ARL PACA,OACT,4.0,0.0,2020,4.0
215900176,ARMENTIERES,COM,2.0,0.0,2020,2.0
219200045,ASNIERES SUR SEINE,COM,5.0,1.0,2020,6.0
