SIREN,2017,2018,2020,2022,speed_2018,speed_2020,speed_2022,speed_2018_category,speed_2020_category,speed_2022_category
241300417,1.0,10.0,33.0,56.0,,,,Not Available,Not Available,Not Available
242900314,1.0,5.0,215.0,204.0,-0.5,5.515151515151516,2.642857142857143,Down-Slopper,Long-Runner,Long-Runner
243300316,1.0,225.0,260.0,467.0,44.0,0.20930232558139528,1.2892156862745097,Long-Runner,Long-Runner,Long-Runner
245400676,1.0,48.0,51.0,18.0,-0.7866666666666666,-0.8038461538461539,-0.961456102783726,Down-Slopper,Down-Slopper,Down-Slopper
214000564,1.0,100.0,121.0,106.0,1.0833333333333335,1.3725490196078431,4.888888888888889,Long-Runner,Long-Runner,Long-Runner
213303662,1.0,1.0,1.0,1.0,-0.99,-0.9917355371900827,-0.9905660377358491,Down-Slopper,Down-Slopper,Down-Slopper
226000016,1.0,176.0,179.0,179.0,175.0,178.0,178.0,Long-Runner,Long-Runner,Long-Runner
225005024,1.0,78.0,85.0,85.0,-0.5568181818181819,-0.5251396648044693,-0.5251396648044693,Down-Slopper,Down-Slopper,Down-Slopper
224100016,1.0,69.0,69.0,76.0,-0.11538461538461542,-0.18823529411764706,-0.10588235294117643,Down-Slopper,Down-Slopper,Down-Slopper
227100013,1.0,424.0,77.0,132.0,5.144927536231884,0.11594202898550732,0.736842105263158,Long-Runner,Long-Runner,Long-Runner
221500010,1.0,10.0,5.0,5.0,-0.9764150943396226,-0.935064935064935,-0.9621212121212122,Down-Slopper,Down-Slopper,Down-Slopper
200053759,1.0,2.0,2.0,10.0,-0.8,-0.6,1.0,Down-Slopper,Down-Slopper,Long-Runner
200053742,1.0,168.0,334.0,488.0,83.0,166.0,47.8,Long-Runner,Long-Runner,Long-Runner
217701317,1.0,26.0,26.0,26.0,-0.8452380952380952,-0.9221556886227544,-0.9467213114754098,Down-Slopper,Down-Slopper,Down-Slopper
200046977,1.0,1714.0,1148.0,1351.0,64.92307692307692,43.15384615384615,50.96153846153846,Long-Runner,Long-Runner,Long-Runner
219400587,1.0,2.0,2.0,2.0,-0.9988331388564761,-0.9982578397212544,-0.9985196150999259,Down-Slopper,Down-Slopper,Down-Slopper
219300456,1.0,7.0,71.0,31.0,2.5,34.5,14.5,Long-Runner,Long-Runner,Long-Runner
219103454,1.0,13.0,13.0,13.0,0.8571428571428572,-0.8169014084507042,-0.5806451612903225,Long-Runner,Down-Slopper,Down-Slopper
217500016,1.0,684.0,727.0,846.0,51.61538461538461,54.92307692307692,64.07692307692308,Long-Runner,Long-Runner,Long-Runner
213105554,1.0,203.0,262.0,287.0,-0.7032163742690059,-0.6396148555708391,-0.6607565011820331,Down-Slopper,Down-Slopper,Down-Slopper
200054807,1.0,11.0,17.0,63.0,-0.9458128078817734,-0.9351145038167938,-0.7804878048780488,Down-Slopper,Down-Slopper,Down-Slopper
244400404,1.0,192.0,278.0,380.0,16.454545454545453,15.352941176470587,5.031746031746032,Long-Runner,Long-Runner,Long-Runner
234400034,1.0,358.0,371.0,457.0,0.8645833333333333,0.33453237410071934,0.2026315789473685,Long-Runner,Long-Runner,Long-Runner
237500079,1.0,1381.0,1164.0,1292.0,2.857541899441341,2.137466307277628,1.8271334792122538,Long-Runner,Long-Runner,Long-Runner
231300021,1.0,134.0,137.0,217.0,-0.9029688631426502,-0.8823024054982818,-0.8320433436532508,Down-Slopper,Down-Slopper,Down-Slopper
243500139,1.0,137.0,173.0,202.0,0.02238805970149249,0.2627737226277371,-0.06912442396313367,Long-Runner,Long-Runner,Down-Slopper
219400686,1.0,1.0,1.0,1.0,-0.9927007299270073,-0.9942196531791907,-0.995049504950495,Down-Slopper,Down-Slopper,Down-Slopper
210206660,1.0,92.0,100.0,32.0,91.0,99.0,31.0,Long-Runner,Long-Runner,Long-Runner
212405203,1.0,12.0,12.0,12.0,-0.8695652173913043,-0.88,-0.625,Down-Slopper,Down-Slopper,Down-Slopper
243100518,1.0,421.0,691.0,897.0,34.083333333333336,56.583333333333336,73.75,Long-Runner,Long-Runner,Long-Runner
211300017,1.0,3.0,3.0,2.0,-0.9928741092636579,-0.9956584659913169,-0.9977703455964325,Down-Slopper,Down-Slopper,Down-Slopper
219200409,1.0,347.0,375.0,486.0,114.66666666666667,124.0,242.0,Long-Runner,Long-Runner,Long-Runner
211300553,1.0,129.0,35.0,96.0,-0.6282420749279538,-0.9066666666666666,-0.8024691358024691,Down-Slopper,Down-Slopper,Down-Slopper
214401093,1.0,158.0,294.0,444.0,0.22480620155038755,7.4,3.625,Long-Runner,Long-Runner,Long-Runner
213502388,1.0,161.0,185.0,192.0,0.018987341772152,-0.37074829931972786,-0.5675675675675675,Long-Runner,Down-Slopper,Down-Slopper
219300779,1.0,10.0,10.0,10.0,-0.937888198757764,-0.9459459459459459,-0.9479166666666666,Down-Slopper,Down-Slopper,Down-Slopper
232000018,1.0,212.0,621.0,195.0,20.2,61.1,18.5,Long-Runner,Long-Runner,Long-Runner
